Name,Capital,Population,Area
Andorra,Andorra la Vella,84000,468.0
United Arab Emirates,Abu Dhabi,4975593,82880.0
Afghanistan,Kabul,29121286,647500.0
Antigua and Barbuda,St. John's,86754,443.0
Anguilla,The Valley,13254,102.0
Albania,Tirana,2986952,28748.0
Armenia,Yerevan,2968000,29800.0
Angola,Luanda,13068161,1246700.0
Antarctica,None,0,1.4E7
Argentina,Buenos Aires,41343201,2766890.0
American Samoa,Pago Pago,57881,199.0
Austria,Vienna,8205000,83858.0
Australia,Canberra,21515754,7686850.0
Aruba,Oranjestad,71566,193.0
